ChassisId,Timestamp,PresNo,MeasureName,ValueNumber,DatasetNumber,Unit,MeasureValue,MeasureValueDelta,LogHours,MachineHours,Color,Source,Type,load_datetime
A60H3210,2024-10-07T16:11:34Z,646,Brake Usage (%),3,1,Service brake activated,49.86631746048925,96.875,15100.629444444445,20086.5,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-07T16:11:34Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.20586725426119,10.472972972972974,15100.66111111111,20086.5,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-07T16:11:34Z,1172,Machine utilization (%),3,1,Gear engaged,63.52761049533632,19.93790962400828,15100.64361111111,20086.5,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-08T16:00:44Z,646,Brake Usage (%),2,1,Retarder activated,23.798188158571428,17.09901351845086,15411.596111111112,20397.35,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-08T16:00:44Z,646,Brake Usage (%),3,1,Service brake activated,50.14336217838641,62.16660577274388,15411.596111111112,20397.35,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-08T16:00:44Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,37.95794611219205,0.6753680376384884,15411.623333333331,20397.35,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-08T16:00:44Z,1172,Machine utilization (%),3,1,Gear engaged,63.4941564708151,59.13500770695439,15411.610277777778,20397.35,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,5010,Average carry back per cycle,2,1,Total Cycles CT,17525.0,0.0,15211.583055555557,20246.75,,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,646,Brake Usage (%),2,1,Retarder activated,23.870655266592724,16.337657454408724,15260.603333333333,20246.75,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,646,Brake Usage (%),3,1,Service brake activated,49.99799818026359,65.8770445572476,15260.603333333333,20246.75,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,1054,"Engine coolant temperature, distribution (%)",2,1,75-97,97.99844962941025,90.28847014591352,15193.5,20246.75,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,1054,"Engine coolant temperature, distribution (%)",3,1,98-103,0.2626123013130615,2.4997762062483218,15193.5,20246.75,Yellow,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,3041,HVAC Auto - Manual mode selection distribution (%),2,1,Manual,86.79829507146283,97.6348644813543,13698.847222222224,20246.75,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,636,"Hydraulic oil, temperature distribution (h)",2,1,30-70,4326.519444444444,67.44444444444444,15265.075,20246.75,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,636,"Hydraulic oil, temperature distribution (h)",3,1,70-90,10162.113888888887,141.9388888888889,15265.075,20246.75,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,3073,Idle time before shut down (%),2,1,10-30,21.614534557033156,18.072289156626507,15190.486666666666,20246.75,Red,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,3073,Idle time before shut down (%),3,1,30-60,8.977960916526191,9.437751004016064,15190.486666666666,20246.75,Yellow,WECU,graph,2025-03-18T09:08:06.369Z
